wavenumber(cm-1),absorbance
100.2819,0.9239474666666667
100.764,0.8933577666666667
101.2462,0.8634100666666668
101.7283,0.8380511166666667
102.2104,0.8190613333333333
102.6925,0.80647525
103.1747,0.7996408833333333
103.6568,0.7981379666666667
104.1389,0.8021954499999998
104.621,0.8125406333333335
105.1032,0.8299614499999999
105.5853,0.8548358333333334
106.0674,0.88684465
106.5495,0.9249398333333332
107.0317,0.9675156
107.5138,1.0124856166666667
107.9959,1.0569628333333334
108.478,1.0966608833333333
108.9602,1.1260433333333335
109.4423,1.140395
109.9244,1.1383011666666667
110.4065,1.1215135
110.8887,1.0937481666666666
111.3708,1.0609474666666667
111.8529,1.0307674666666669
112.335,1.0102511833333334
112.8172,1.0041057
113.2993,1.0144841666666669
113.7814,1.0412931666666665
114.2635,1.0822304999999999
114.7457,1.1324418333333333
115.2278,1.1840184999999999
115.7099,1.2262573333333335
116.192,1.2484761666666666
116.6741,1.2453906666666668
117.1563,1.2198873499999998
117.6384,1.1802580166666665
118.1205,1.1354026
118.6026,1.0918294166666669
119.0848,1.0533436
119.5669,1.0219839000000002
120.049,0.9987722666666666
120.5311,0.9840080333333333
121.0133,0.9773089666666666
121.4954,0.9776263333333333
121.9775,0.9833849
122.4596,0.9928069833333334
122.9418,1.0043407999999998
123.4239,1.0169718333333335
123.906,1.0302196833333335
124.3881,1.0435985333333333
124.8703,1.056096
125.3524,1.0657995
125.8345,1.0701791666666667
126.3166,1.0670955
126.7988,1.0560409999999998
127.2809,1.0386633333333333
127.763,1.0180591333333333
128.2451,0.99742145
128.7272,0.9789782833333334
129.2094,0.9636673000000001
129.6915,0.9513986833333336
130.1736,0.9415983666666666
130.6557,0.9337149166666667
131.1379,0.9275043333333333
131.62,0.9230077166666669
132.1021,0.9202936333333334
132.5842,0.9191255999999998
133.0664,0.9187566333333335
133.5485,0.9180193166666668
134.0306,0.9157666999999999
134.5127,0.9114447500000001
134.9949,0.9054415833333334
135.477,0.8989581999999999
135.9591,0.8935050999999999
136.4412,0.8903233166666666
136.9234,0.8899786666666666
137.4055,0.89222035
137.8876,0.8961191666666667
138.3697,0.9004373500000001
138.8519,0.9041206166666668
139.334,0.9066854499999999
139.8161,0.9082912833333334
140.2982,0.9094547000000001
140.7804,0.9105962999999999
141.2625,0.9116884500000001
141.7446,0.9121980833333332
142.2267,0.9113325333333334
142.7089,0.9084579833333334
143.191,0.9034334166666668
143.6731,0.8966800500000001
144.1552,0.8889486166666667
144.6374,0.8809525166666666
145.1195,0.8730790333333333
145.6016,0.8653387666666666
146.0837,0.8575478166666666
146.5659,0.8496449999999999
147.048,0.8419429166666667
147.5301,0.8351815666666665
148.0122,0.8303507333333333
148.4944,0.8283695166666667
148.9765,0.8297318166666666
149.4586,0.8342356
149.9407,0.8408863166666666
150.4229,0.8480750166666667
150.905,0.8540418833333333
151.3871,0.8574827833333334
151.8692,0.8579964000000001
152.3513,0.8561214500000002
152.8335,0.8529659166666667
153.3156,0.84967975
153.7977,0.8470303499999999
154.2798,0.8452253166666667
154.762,0.84395655
155.2441,0.8426040166666667
155.7262,0.8404806166666666
156.2083,0.8370622166666667
156.6905,0.8321399333333334
157.1726,0.8258818833333333
157.6547,0.81878365
158.1368,0.8115432333333334
158.619,0.8048890000000001
159.1011,0.7994229
159.5832,0.7955106500000001
160.0653,0.7932222166666668
160.5475,0.7923179333333333
161.0296,0.7922899999999999
161.5117,0.7924626833333334
161.9938,0.7921649666666667
162.476,0.79092745
162.9581,0.7886364333333334
163.4402,0.7855655666666667
163.9223,0.7822577166666665
164.4044,0.7793046666666666
164.8866,0.7771231833333333
165.3687,0.7758017333333332
165.8508,0.7750738333333334
166.3329,0.7744186166666666
166.8151,0.77325585
167.2972,0.77116035
167.7793,0.7680034666666667
168.2614,0.7639621500000001
168.7436,0.7594096333333334
169.2257,0.7547485833333333
169.7078,0.7502770666666666
170.1899,0.7461303333333333
170.6721,0.7423169666666666
171.1542,0.7388099833333333
171.6363,0.7356387833333334
172.1184,0.7329255833333334
172.6006,0.7308527333333333
173.0827,0.7295755
173.5648,0.7291310333333333
174.0469,0.7293824666666667
174.5291,0.7300269333333333
175.0112,0.7306685166666665
175.4933,0.7309335333333333
175.9754,0.7305795
176.4576,0.7295560833333333
176.9397,0.72799165
177.4218,0.7261220166666668
177.9039,0.7241949333333332
178.386,0.7223966666666666
178.8682,0.7208201166666667
179.3503,0.71947595
179.8324,0.7183205500000001
180.3145,0.7172858500000001
180.7967,0.7162908166666667
181.2788,0.7152446499999999
181.7609,0.71404435
182.243,0.7125847
182.7252,0.71078015
183.2073,0.7085905
183.6894,0.7060388166666667
184.1715,0.7032103833333334
184.6537,0.7002301666666666
185.1358,0.6972305
185.6179,0.6943184166666666
186.1,0.6915608
186.5822,0.6889872833333334
187.0643,0.6866068333333333
187.5464,0.6844242499999998
188.0285,0.6824492833333333
188.5107,0.6806875666666666
188.9928,0.6791268833333334
189.4749,0.6777191166666667
189.957,0.6763769833333333
190.4392,0.6749864166666667
190.9213,0.6734344999999999
191.4034,0.6716367166666667
191.8855,0.6695577
192.3677,0.6672110333333333
192.8498,0.6646452333333334
193.3319,0.6619178499999999
193.814,0.6590768666666666
194.2962,0.6561546833333333
194.7783,0.6531764333333334
195.2604,0.6501742666666667
195.7425,0.6471991500000001
196.2247,0.6443182499999999
196.7068,0.6416029666666666
197.1889,0.6391079666666667
197.671,0.6368566
198.1532,0.63483615
198.6353,0.6330071166666666
199.1174,0.6313188
199.5995,0.6297259833333334
200.0816,0.6281973166666667
