W / cm-1,R Gamma,R Delta,W / cm-1,Eps KKG Gamma Real,Eps KKG Gamma Imag,Eps KKG Delta Real,Eps KKG Delta Imag,W / cm-1,Eps Fit Gamma Real,Eps Fit Gamma Imag,Eps Fit Delta Real,Eps Fit Delta Imag
1392.53,0.00579,0.00425,1394.46,1.94615,0.41689,1.83853,0.43688,1342.671,1.91498,0.38479,1.82114,0.43285
1394.458,0.00573,0.00421,1396.39,1.94241,0.4089,1.84363,0.43415,1344.672,1.91712,0.38571,1.82327,0.43352
1396.387,0.00567,0.00423,1398.32,1.94806,0.40055,1.84795,0.43804,1346.673,1.91923,0.38662,1.82537,0.43418
1398.316,0.00568,0.00427,1400.24,1.96039,0.40232,1.84369,0.43943,1348.674,1.92131,0.38753,1.82745,0.43484
1400.244,0.00578,0.00425,1402.17,1.96398,0.4082,1.83881,0.43107,1350.675,1.92335,0.38842,1.82949,0.43549
1402.173,0.00583,0.00419,1404.1,1.96289,0.41028,1.8453,0.42051,1352.676,1.92536,0.3893,1.83151,0.43613
1404.102,0.00583,0.00419,1406.03,1.96435,0.41002,1.86109,0.42199,1354.677,1.92734,0.39017,1.8335,0.43677
1406.031,0.00584,0.00429,1407.96,1.96861,0.41201,1.86763,0.43323,1356.678,1.92928,0.39103,1.83546,0.4374
1407.959,0.00588,0.00437,1409.89,1.97131,0.4169,1.85989,0.43497,1358.679,1.93119,0.39187,1.8374,0.43802
1409.888,0.00592,0.00433,1411.82,1.97046,0.42357,1.85864,0.42613,1360.68,1.93307,0.39271,1.83931,0.43863
1411.817,0.00594,0.00429,1413.74,1.9637,0.42629,1.87135,0.42143,1362.681,1.93492,0.39353,1.84119,0.43924
1413.745,0.0059,0.00435,1415.67,1.95724,0.42345,1.88717,0.43367,1364.682,1.93674,0.39434,1.84305,0.43984
1415.674,0.00584,0.00449,1417.6,1.95415,0.41681,1.88422,0.44674,1366.683,1.93853,0.39514,1.84488,0.44043
1417.603,0.00579,0.00452,1419.53,1.95616,0.40798,1.87583,0.44957,1368.684,1.94029,0.39593,1.84669,0.44101
1419.532,0.00577,0.00448,1421.46,1.96602,0.40417,1.87317,0.44853,1370.685,1.94203,0.3967,1.84847,0.44158
1421.46,0.00583,0.00446,1423.39,1.97577,0.4083,1.87295,0.44888,1372.686,1.94373,0.39746,1.85023,0.44215
1423.389,0.00592,0.00446,1425.32,1.97936,0.41665,1.87116,0.44639,1374.687,1.9454,0.39821,1.85197,0.4427
1425.318,0.00598,0.00444,1427.25,1.97607,0.42537,1.87442,0.44653,1376.688,1.94705,0.39895,1.85368,0.44325
1427.246,0.00599,0.00446,1429.17,1.96531,0.42575,1.87482,0.44853,1378.689,1.94867,0.39967,1.85537,0.44379
1429.175,0.00591,0.00447,1431.1,1.95871,0.41828,1.8726,0.44675,1380.69,1.95027,0.40038,1.85703,0.44432
1431.104,0.00583,0.00445,1433.03,1.95951,0.40918,1.87488,0.44309,1382.691,1.95183,0.40107,1.85867,0.44484
1433.033,0.0058,0.00445,1434.96,1.96562,0.40238,1.88216,0.44467,1384.692,1.95338,0.40176,1.86029,0.44535
1434.961,0.00582,0.0045,1436.89,1.97492,0.40218,1.88652,0.45372,1386.693,1.95489,0.40243,1.86189,0.44585
1436.89,0.00589,0.00456,1438.82,1.97921,0.40666,1.88038,0.46336,1388.694,1.95639,0.40308,1.86347,0.44634
1438.819,0.00594,0.00456,1440.75,1.97631,0.4046,1.86578,0.46266,1390.695,1.95785,0.40372,1.86502,0.44682
1440.747,0.00591,0.00447,1442.68,1.98143,0.39962,1.85506,0.44806,1392.696,1.9593,0.40435,1.86656,0.44729
1442.676,0.00593,0.00435,1444.61,1.99322,0.40474,1.8604,0.43142,1394.697,1.96072,0.40497,1.86807,0.44776
1444.605,0.00604,0.00432,1446.53,1.994,0.41357,1.87755,0.42768,1396.698,1.96212,0.40556,1.86956,0.44821
1446.534,0.00608,0.00441,1448.46,1.98839,0.41689,1.88849,0.43701,1398.699,1.96349,0.40615,1.87103,0.44865
1448.462,0.00605,0.00451,1450.39,1.98425,0.41479,1.88432,0.44117,1400.7,1.96484,0.40672,1.87249,0.44908
1450.391,0.00601,0.0045,1452.32,1.98388,0.41035,1.88274,0.43836,1402.701,1.96617,0.40728,1.87392,0.44951
1452.32,0.00599,0.00448,1454.25,1.98775,0.4079,1.88696,0.43677,1404.702,1.96748,0.40782,1.87534,0.44992
1454.248,0.00601,0.0045,1456.18,1.9916,0.40802,1.89112,0.43807,1406.703,1.96877,0.40835,1.87673,0.45032
1456.177,0.00604,0.00453,1458.11,1.99427,0.4105,1.89331,0.43989,1408.704,1.97004,0.40887,1.87811,0.45071
1458.106,0.00607,0.00455,1460.04,1.9932,0.4126,1.89503,0.44253,1410.705,1.97129,0.40937,1.87947,0.4511
1460.035,0.00607,0.00457,1461.96,1.98991,0.4114,1.89464,0.44316,1412.706,1.97252,0.40985,1.88081,0.45147
1461.963,0.00604,0.00457,1463.89,1.98738,0.40339,1.89675,0.44508,1414.707,1.97373,0.41032,1.88213,0.45183
1463.892,0.00599,0.00459,1465.82,1.99501,0.3958,1.89669,0.45054,1416.708,1.97492,0.41078,1.88344,0.45218
1465.821,0.00602,0.00461,1467.75,2.00762,0.39645,1.88896,0.45242,1418.709,1.97609,0.41122,1.88473,0.45252
1467.749,0.00612,0.00457,1469.68,2.01538,0.40443,1.8798,0.44316,1420.71,1.97724,0.41165,1.886,0.45285
1469.678,0.00621,0.00448,1471.61,2.01385,0.4102,1.88199,0.42854,1422.711,1.97838,0.41206,1.88726,0.45317
1471.607,0.00622,0.00444,1473.54,2.01177,0.40923,1.89676,0.42287,1424.712,1.9795,0.41246,1.8885,0.45348
1473.536,0.0062,0.00451,1475.46,2.0168,0.40944,1.90898,0.42707,1426.713,1.9806,0.41284,1.88973,0.45377
1475.464,0.00624,0.0046,1477.39,2.02159,0.41543,1.91367,0.43297,1428.714,1.98169,0.41321,1.89094,0.45406
1477.393,0.0063,0.00465,1479.32,2.01905,0.42056,1.91607,0.43724,1430.715,1.98276,0.41356,1.89213,0.45434
1479.322,0.0063,0.00468,1481.25,2.01514,0.42057,1.91889,0.44352,1432.716,1.98381,0.4139,1.89331,0.4546
1481.25,0.00627,0.00472,1483.18,2.01529,0.4203,1.91663,0.45006,1434.717,1.98485,0.41423,1.89448,0.45486
1483.179,0.00627,0.00473,1485.11,2.01433,0.41961,1.90995,0.45029,1436.718,1.98587,0.41454,1.89563,0.4551
1485.108,0.00626,0.00469,1487.04,2.01384,0.41543,1.90737,0.44644,1438.719,1.98688,0.41483,1.89677,0.45533
1487.036,0.00624,0.00466,1488.96,2.01973,0.41138,1.90888,0.44115,1440.72,1.98788,0.41511,1.89789,0.45556
1488.965,0.00627,0.00465,1490.89,2.0306,0.41542,1.91604,0.43725,1442.721,1.98886,0.41538,1.899,0.45577
1490.894,0.00637,0.00468,1492.82,2.03522,0.4268,1.92875,0.44599,1444.722,1.98983,0.41563,1.9001,0.45597
1492.823,0.00645,0.00479,1494.75,2.02913,0.43622,1.92776,0.46384,1446.723,1.99078,0.41587,1.90119,0.45616
1494.751,0.00644,0.00485,1496.68,2.01856,0.43658,1.90762,0.46734,1448.724,1.99172,0.41609,1.90226,0.45634
1496.68,0.00636,0.00474,1498.61,2.01306,0.42972,1.89324,0.45081,1450.725,1.99265,0.4163,1.90332,0.45651
1498.609,0.00629,0.00459,1500.54,2.01623,0.42354,1.90099,0.43526,1452.726,1.99357,0.41649,1.90437,0.45667
1500.537,0.00629,0.00458,1502.47,2.02302,0.42293,1.91713,0.43538,1454.727,1.99448,0.41667,1.90541,0.45682
1502.466,0.00634,0.00468,1504.39,2.0274,0.42702,1.92229,0.4432,1456.728,1.99537,0.41684,1.90644,0.45696
1504.395,0.00639,0.00474,1506.32,2.02694,0.43045,1.91827,0.44456,1458.729,1.99625,0.41699,1.90746,0.45708
1506.324,0.0064,0.00472,1508.25,2.02642,0.43148,1.91894,0.44337,1460.73,1.99713,0.41712,1.90846,0.4572
1508.252,0.0064,0.00472,1510.18,2.02856,0.43484,1.92065,0.44325,1462.731,1.99799,0.41724,1.90946,0.45731
1510.181,0.00643,0.00473,1512.11,2.0273,0.43972,1.9213,0.44214,1464.732,1.99884,0.41735,1.91044,0.4574
1512.11,0.00644,0.00473,1514.04,2.02283,0.44329,1.92372,0.44077,1466.733,1.99969,0.41745,1.91142,0.45749
1514.038,0.00642,0.00474,1515.97,2.01647,0.44302,1.92743,0.43992,1468.734,2.00052,0.41753,1.91238,0.45757
1515.967,0.00637,0.00476,1517.9,2.0121,0.43898,1.93289,0.44164,1470.735,2.00135,0.41759,1.91334,0.45763
1517.896,0.00632,0.0048,1519.83,2.01221,0.43635,1.93736,0.44779,1472.736,2.00216,0.41765,1.91429,0.45769
1519.825,0.00631,0.00485,1521.75,2.01092,0.4338,1.93608,0.45541,1474.737,2.00297,0.41769,1.91523,0.45773
1521.753,0.00629,0.00487,1523.68,2.01078,0.42913,1.92923,0.45872,1476.738,2.00377,0.41771,1.91616,0.45777
1523.682,0.00627,0.00484,1525.61,2.01545,0.42759,1.92254,0.45641,1478.739,2.00457,0.41772,1.91708,0.45779
1525.611,0.0063,0.00479,1527.54,2.01829,0.42964,1.91919,0.4512,1480.74,2.00535,0.41772,1.91799,0.45781
1527.539,0.00633,0.00475,1529.47,2.01761,0.43099,1.91884,0.44358,1482.741,2.00613,0.41771,1.9189,0.45781
1529.468,0.00633,0.00472,1531.4,2.01734,0.4315,1.92441,0.43678,1484.742,2.0069,0.41768,1.9198,0.45781
1531.397,0.00633,0.00473,1533.33,2.01751,0.43365,1.93436,0.43623,1486.743,2.00767,0.41764,1.92069,0.4578
1533.326,0.00634,0.00479,1535.25,2.01448,0.43698,1.94149,0.44058,1488.744,2.00843,0.41759,1.92157,0.45777
1535.254,0.00633,0.00485,1537.18,2.00638,0.43504,1.94492,0.44851,1490.745,2.00918,0.41752,1.92245,0.45774
1537.183,0.00626,0.0049,1539.11,2.00137,0.42719,1.94136,0.45463,1492.746,2.00993,0.41744,1.92332,0.4577
1539.112,0.00619,0.0049,1541.04,2.0032,0.41856,1.93532,0.45395,1494.747,2.01068,0.41735,1.92419,0.45765
1541.04,0.00617,0.00486,1542.97,2.01008,0.41521,1.9348,0.44937,1496.748,2.01141,0.41725,1.92504,0.45759
1542.969,0.00621,0.00484,1544.9,2.0144,0.41691,1.94112,0.45231,1498.749,2.01215,0.41713,1.9259,0.45752
1544.898,0.00625,0.00489,1546.83,2.01308,0.41697,1.93955,0.45772,1500.75,2.01288,0.417,1.92674,0.45744
1546.827,0.00624,0.0049,1548.76,2.01243,0.41311,1.93375,0.45932,1502.751,2.0136,0.41686,1.92758,0.45735
1548.755,0.00622,0.00487,1550.68,2.01668,0.40972,1.92834,0.45756,1504.752,2.01432,0.41671,1.92842,0.45725
1550.684,0.00624,0.00483,1552.61,2.02305,0.41251,1.92331,0.45244,1506.753,2.01504,0.41654,1.92925,0.45715
1552.613,0.0063,0.00478,1554.54,2.02247,0.41631,1.92073,0.44033,1508.754,2.01575,0.41637,1.93008,0.45703
1554.541,0.00631,0.00472,1556.47,2.01943,0.41722,1.93083,0.43111,1510.755,2.01647,0.41618,1.9309,0.45691
1556.47,0.00629,0.00475,1558.4,2.01676,0.41737,1.94523,0.43395,1512.756,2.01717,0.41598,1.93172,0.45678
1558.399,0.00627,0.00485,1560.33,2.01111,0.41318,1.95026,0.44197,1514.757,2.01788,0.41578,1.93253,0.45664
1560.328,0.00621,0.00491,1562.26,2.00888,0.40454,1.94922,0.44661,1516.758,2.01858,0.41556,1.93334,0.4565
1562.256,0.00616,0.00492,1564.18,2.01239,0.39459,1.94963,0.45421,1518.759,2.01928,0.41532,1.93415,0.45634
1564.185,0.00615,0.00495,1566.11,2.02214,0.38743,1.94021,0.45656,1520.76,2.01998,0.41508,1.93495,0.45618
1566.114,0.0062,0.0049,1568.04,2.03585,0.38818,1.93222,0.44831,1522.761,2.02068,0.41483,1.93575,0.45601
1568.042,0.00631,0.00482,1569.97,2.04526,0.39809,1.93576,0.43936,1524.762,2.02138,0.41457,1.93654,0.45583
1569.971,0.00642,0.00481,1571.9,2.04195,0.40521,1.94502,0.43717,1526.763,2.02207,0.4143,1.93733,0.45565
1571.9,0.00642,0.00486,1573.83,2.03814,0.40514,1.95246,0.44372,1528.764,2.02277,0.41401,1.93812,0.45545
1573.829,0.00639,0.00493,1575.76,2.0397,0.40456,1.94974,0.45125,1530.765,2.02346,0.41372,1.93891,0.45525
1575.757,0.0064,0.00494,1577.69,2.04152,0.40607,1.94066,0.45034,1532.766,2.02415,0.41342,1.93969,0.45505
1577.686,0.00642,0.00488,1579.62,2.04161,0.40856,1.93617,0.44147,1534.767,2.02484,0.41311,1.94047,0.45483
1579.615,0.00643,0.00482,1581.54,2.03945,0.41044,1.9413,0.43243,1536.768,2.02554,0.41279,1.94125,0.45461
1581.543,0.00642,0.00482,1583.47,2.03534,0.40835,1.9526,0.43213,1538.769,2.02623,0.41246,1.94203,0.45438
1583.472,0.00638,0.00489,1585.4,2.03492,0.40389,1.95807,0.43659,1540.77,2.02692,0.41212,1.9428,0.45415
1585.401,0.00636,0.00494,1587.33,2.03828,0.40213,1.95926,0.44017,1542.771,2.02761,0.41178,1.94357,0.45391
1587.329,0.00638,0.00496,1589.26,2.03949,0.40232,1.95985,0.4419,1544.772,2.0283,0.41142,1.94434,0.45366
1589.258,0.00639,0.00497,1591.19,2.03807,0.39989,1.96174,0.44419,1546.773,2.029,0.41106,1.94511,0.45341
1591.187,0.00637,0.00499,1593.12,2.03941,0.39425,1.96267,0.44814,1548.774,2.02969,0.41069,1.94588,0.45315
1593.116,0.00636,0.00501,1595.04,2.047,0.39159,1.96054,0.45189,1550.775,2.03039,0.41031,1.94665,0.45289
1595.044,0.00641,0.00501,1596.97,2.05439,0.39483,1.9562,0.45115,1552.776,2.03108,0.40992,1.94741,0.45262
1596.973,0.00648,0.00498,1598.9,2.05615,0.39925,1.95621,0.45109,1554.777,2.03178,0.40953,1.94818,0.45234
1598.902,0.00651,0.00498,1600.83,2.05539,0.40091,1.95434,0.45159,1556.778,2.03248,0.40912,1.94894,0.45206
1600.83,0.00651,0.00497,1602.76,2.05623,0.39911,1.95111,0.44889,1558.779,2.03318,0.40871,1.94971,0.45177
1602.759,0.00651,0.00494,1604.69,2.06356,0.40243,1.95144,0.44556,1560.78,2.03388,0.4083,1.95047,0.45148
1604.688,0.00658,0.00493,1606.62,2.06575,0.41126,1.9532,0.44243,1562.781,2.03459,0.40787,1.95123,0.45119
1606.617,0.00663,0.00493,1608.55,2.06004,0.41797,1.95745,0.44332,1564.782,2.0353,0.40745,1.95199,0.45088
1608.545,0.00661,0.00496,1610.47,2.05218,0.42101,1.95734,0.44633,1566.783,2.03601,0.40701,1.95275,0.45058
1610.474,0.00656,0.00497,1612.4,2.04184,0.41607,1.95272,0.44329,1568.784,2.03672,0.40657,1.95351,0.45027
1612.403,0.00646,0.00493,1614.33,2.03886,0.40636,1.95451,0.43729,1570.785,2.03743,0.40612,1.95427,0.44995
1614.331,0.0064,0.00492,1616.26,2.04353,0.39913,1.96246,0.43724,1572.786,2.03815,0.40567,1.95503,0.44963
1616.26,0.00641,0.00497,1618.19,2.05042,0.39797,1.96657,0.44406,1574.787,2.03886,0.40521,1.9558,0.44931
1618.189,0.00646,0.00502,1620.12,2.05333,0.39988,1.9611,0.44811,1576.788,2.03959,0.40474,1.95656,0.44898
1620.118,0.00649,0.005,1622.05,2.05272,0.39851,1.95437,0.44321,1578.789,2.04031,0.40427,1.95732,0.44865
1622.046,0.00648,0.00494,1623.97,2.05695,0.39753,1.95629,0.43694,1580.79,2.04104,0.4038,1.95808,0.44832
1623.975,0.00651,0.00493,1625.9,2.06207,0.40295,1.96187,0.4354,1582.791,2.04177,0.40332,1.95884,0.44798
1625.904,0.00657,0.00496,1627.83,2.05817,0.40859,1.96478,0.43587,1584.792,2.0425,0.40283,1.9596,0.44764
1627.832,0.00656,0.00498,1629.76,2.04998,0.40704,1.96696,0.43479,1586.793,2.04324,0.40235,1.96036,0.4473
1629.761,0.00649,0.00499,1631.69,2.04611,0.39908,1.97308,0.43799,1588.794,2.04398,0.40185,1.96113,0.44695
1631.69,0.00643,0.00504,1633.62,2.05043,0.39239,1.97444,0.44693,1590.795,2.04472,0.40136,1.96189,0.4466
1633.619,0.00644,0.00508,1635.55,2.05683,0.38943,1.96483,0.44993,1592.796,2.04547,0.40086,1.96265,0.44625
1635.547,0.00648,0.00503,1637.48,2.06371,0.391,1.95646,0.44227,1594.797,2.04622,0.40035,1.96342,0.44589
1637.476,0.00654,0.00495,1639.4,2.06697,0.39493,1.95881,0.43239,1596.798,2.04697,0.39985,1.96419,0.44553
1639.405,0.00658,0.00493,1641.33,2.06706,0.39757,1.96836,0.42931,1598.799,2.04773,0.39934,1.96495,0.44517
1641.333,0.00659,0.00498,1643.26,2.06763,0.39909,1.97565,0.43327,1600.8,2.04849,0.39882,1.96572,0.44481
1643.262,0.0066,0.00504,1645.19,2.06894,0.40173,1.97657,0.43737,1602.801,2.04925,0.39831,1.96649,0.44445
1645.191,0.00662,0.00506,1647.12,2.06859,0.40522,1.97637,0.44062,1604.802,2.05002,0.39779,1.96726,0.44408
1647.12,0.00663,0.00507,1649.05,2.06655,0.40958,1.97409,0.44185,1606.803,2.0508,0.39727,1.96803,0.44371
1649.048,0.00663,0.00506,1650.98,2.06041,0.41186,1.97246,0.43911,1608.804,2.05157,0.39674,1.9688,0.44335
1650.977,0.00659,0.00504,1652.91,2.05305,0.40862,1.97668,0.44002,1610.805,2.05235,0.39622,1.96957,0.44297
1652.906,0.00652,0.00507,1654.83,2.05056,0.40317,1.97684,0.44258,1612.806,2.05313,0.39569,1.97035,0.4426
1654.834,0.00648,0.00508,1656.76,2.05115,0.39916,1.97562,0.44192,1614.807,2.05392,0.39516,1.97112,0.44223
1656.763,0.00647,0.00507,1658.69,2.05191,0.39748,1.97943,0.44643,1616.808,2.05471,0.39463,1.9719,0.44186
1658.692,0.00647,0.00511,1660.62,2.05021,0.39566,1.97517,0.45403,1618.809,2.05551,0.3941,1.97268,0.44148
1660.621,0.00645,0.00511,1662.55,2.04748,0.39049,1.96218,0.44901,1620.81,2.05631,0.39357,1.97345,0.44111
1662.549,0.00641,0.00501,1664.48,2.04853,0.3825,1.96191,0.44104,1622.811,2.05711,0.39304,1.97423,0.44073
1664.478,0.00639,0.00498,1666.41,2.05618,0.37946,1.96596,0.43947,1624.812,2.05792,0.3925,1.97501,0.44036
1666.407,0.00644,0.005,1668.34,2.05982,0.37978,1.96471,0.43888,1626.813,2.05873,0.39197,1.9758,0.43998
1668.335,0.00647,0.00499,1670.26,2.06074,0.37771,1.96231,0.43462,1628.814,2.05955,0.39144,1.97658,0.4396
1670.264,0.00647,0.00496,1672.19,2.06542,0.37563,1.96384,0.42891,1630.815,2.06037,0.3909,1.97736,0.43923
1672.193,0.0065,0.00495,1674.12,2.07163,0.37861,1.96918,0.42488,1632.816,2.06119,0.39037,1.97815,0.43885
1674.122,0.00656,0.00497,1676.05,2.07156,0.38167,1.97674,0.4283,1634.817,2.06202,0.38983,1.97894,0.43847
1676.05,0.00657,0.00503,1677.98,2.07108,0.38279,1.9757,0.43318,1636.818,2.06285,0.3893,1.97972,0.4381
1677.979,0.00657,0.00504,1679.91,2.07104,0.38287,1.97017,0.4318,1638.819,2.06368,0.38877,1.98051,0.43772
1679.908,0.00657,0.005,1681.84,2.07239,0.38556,1.96887,0.42542,1640.82,2.06452,0.38823,1.9813,0.43735
1681.836,0.00659,0.00497,1683.77,2.06855,0.3886,1.9746,0.42351,1642.821,2.06537,0.3877,1.98209,0.43698
1683.765,0.00657,0.005,1685.69,2.06036,0.38435,1.9763,0.42327,1644.822,2.06621,0.38717,1.98289,0.4366
1685.694,0.00649,0.00501,1687.62,2.05899,0.3759,1.97776,0.42049,1646.823,2.06706,0.38664,1.98368,0.43623
1687.622,0.00645,0.00501,1689.55,2.06366,0.37091,1.98434,0.42283,1648.824,2.06792,0.38611,1.98448,0.43586
1689.551,0.00647,0.00506,1691.48,2.06627,0.36764,1.98448,0.42847,1650.825,2.06877,0.38559,1.98527,0.43549
1691.48,0.00648,0.00508,1693.41,2.06937,0.36324,1.97804,0.42883,1652.826,2.06964,0.38506,1.98607,0.43512
1693.409,0.00649,0.00504,1695.34,2.07633,0.36146,1.97361,0.42238,1654.827,2.0705,0.38454,1.98687,0.43476
1695.337,0.00654,0.00499,1697.27,2.08191,0.363,1.97638,0.4141,1656.828,2.07137,0.38402,1.98766,0.43439
1697.266,0.00659,0.00498,1699.19,2.08484,0.36502,1.98553,0.41138,1658.829,2.07224,0.3835,1.98846,0.43403
1699.195,0.00662,0.00503,1701.12,2.08746,0.36767,1.99286,0.41535,1660.83,2.07312,0.38298,1.98927,0.43367
1701.123,0.00665,0.00509,1703.05,2.08833,0.37166,1.99343,0.42029,1662.831,2.074,0.38247,1.99007,0.43331
1703.052,0.00667,0.00511,1704.98,2.08504,0.37354,1.9901,0.42066,1664.832,2.07488,0.38196,1.99087,0.43295
1704.981,0.00665,0.00509,1706.91,2.08178,0.37242,1.98939,0.41599,1666.833,2.07577,0.38145,1.99167,0.43259
1706.91,0.00662,0.00507,1708.84,2.07933,0.36929,1.99624,0.41478,1668.834,2.07666,0.38095,1.99248,0.43224
1708.838,0.00659,0.00511,1710.77,2.07759,0.36138,2.00143,0.41978,1670.835,2.07755,0.38044,1.99328,0.43189
1710.767,0.00655,0.00516,1712.7,2.08504,0.3552,1.99942,0.4237,1672.836,2.07845,0.37995,1.99409,0.43154
1712.696,0.00659,0.00516,1714.62,2.09461,0.35611,1.9967,0.42298,1674.837,2.07935,0.37945,1.99489,0.4312
1714.624,0.00667,0.00514,1716.55,2.09912,0.36029,1.99815,0.42317,1676.838,2.08025,0.37896,1.9957,0.43085
1716.553,0.00672,0.00515,1718.48,2.10086,0.36529,1.9977,0.42404,1678.839,2.08115,0.37847,1.9965,0.43051
1718.482,0.00675,0.00515,1720.41,2.09884,0.37022,1.99643,0.42348,1680.84,2.08206,0.37798,1.99731,0.43017
1720.411,0.00675,0.00514,1722.34,2.0917,0.36944,1.99635,0.42358,1682.841,2.08297,0.3775,1.99812,0.42984
1722.339,0.00669,0.00514,1724.27,2.08779,0.36072,1.99381,0.42251,1684.842,2.08388,0.37703,1.99893,0.42951
1724.268,0.00663,0.00512,1726.2,2.0955,0.3538,1.99101,0.41587,1686.843,2.0848,0.37655,1.99974,0.42918
1726.197,0.00667,0.00508,1728.12,2.10659,0.35701,1.99624,0.40859,1688.844,2.08572,0.37608,2.00054,0.42885
1728.125,0.00677,0.00509,1730.05,2.10838,0.36497,2.00688,0.40883,1690.845,2.08664,0.37562,2.00135,0.42853
1730.054,0.00681,0.00516,1731.98,2.10222,0.36801,2.01231,0.41347,1692.846,2.08756,0.37516,2.00216,0.42821
1731.983,0.00677,0.00521,1733.91,2.09672,0.36326,2.01401,0.4162,1694.847,2.08849,0.3747,2.00297,0.4279
1733.912,0.00671,0.00523,1735.84,2.09903,0.35743,2.01887,0.42184,1696.848,2.08941,0.37425,2.00378,0.42758
1735.84,0.00671,0.00528,1737.77,2.10458,0.35587,2.01931,0.43304,1698.849,2.09034,0.3738,2.00459,0.42727
1737.769,0.00675,0.00532,1739.7,2.10761,0.35754,2.00814,0.43959,1700.85,2.09127,0.37336,2.0054,0.42697
1739.698,0.00678,0.00527,1741.63,2.1065,0.35722,1.99503,0.435,1702.851,2.09221,0.37293,2.0062,0.42667
1741.626,0.00677,0.00517,1743.56,2.10677,0.35343,1.98998,0.42395,1704.852,2.09314,0.37249,2.00701,0.42637
1743.555,0.00676,0.0051,1745.48,2.11171,0.35015,1.99413,0.41585,1706.853,2.09408,0.37207,2.00782,0.42607
1745.484,0.00679,0.0051,1747.41,2.1186,0.35141,1.9993,0.4117,1708.854,2.09502,0.37165,2.00863,0.42578
1747.413,0.00685,0.00512,1749.34,2.12116,0.35434,2.00454,0.4105,1710.855,2.09596,0.37123,2.00943,0.4255
1749.341,0.00688,0.00515,1751.27,2.1214,0.35367,2.00827,0.41227,1712.856,2.0969,0.37082,2.01024,0.42522
1751.27,0.00688,0.00518,1753.2,2.12728,0.3543,2.0073,0.41113,1714.857,2.09784,0.37041,2.01104,0.42494
1753.199,0.00693,0.00517,1755.13,2.13245,0.36001,2.00958,0.40647,1716.858,2.09879,0.37001,2.01185,0.42466
1755.127,0.00699,0.00517,1757.06,2.13133,0.36597,2.01862,0.40685,1718.859,2.09973,0.36962,2.01265,0.42439
1757.056,0.007,0.00523,1758.98,2.12785,0.36863,2.02423,0.41416,1720.86,2.10068,0.36923,2.01345,0.42412
1758.985,0.00698,0.00529,1760.91,2.12538,0.36863,2.02053,0.41851,1722.861,2.10162,0.36884,2.01426,0.42386
1760.914,0.00696,0.00528,1762.84,2.12513,0.36927,2.01779,0.41783,1724.862,2.10257,0.36847,2.01506,0.4236
1762.842,0.00696,0.00526,1764.77,2.1233,0.37075,2.01898,0.41853,1726.863,2.10352,0.3681,2.01586,0.42335
1764.771,0.00695,0.00527,1766.7,2.11874,0.36984,2.01721,0.41899,1728.864,2.10447,0.36773,2.01665,0.4231
1766.7,0.00691,0.00526,1768.63,2.11473,0.36449,2.0151,0.41711,1730.865,2.10542,0.36737,2.01745,0.42285
1768.628,0.00686,0.00524,1770.56,2.11554,0.35619,2.01439,0.41231,1732.866,2.10636,0.36701,2.01825,0.42261
1770.557,0.00684,0.00522,1772.49,2.12361,0.35115,2.01853,0.40698,1734.867,2.10731,0.36667,2.01904,0.42238
1772.486,0.00689,0.00523,1774.41,2.13279,0.35267,2.0276,0.40716,1736.868,2.10826,0.36632,2.01983,0.42214
1774.415,0.00697,0.00529,1776.34,2.13781,0.35873,2.03371,0.41346,1738.869,2.10921,0.36599,2.02062,0.42192
1776.343,0.00703,0.00535,1778.27,2.13685,0.36437,2.03266,0.41869,1740.87,2.11016,0.36566,2.02141,0.42169
1778.272,0.00704,0.00536,1780.2,2.13323,0.36738,2.03117,0.4217,1742.871,2.11111,0.36534,2.0222,0.42147
1780.201,0.00702,0.00536,1782.13,2.12791,0.36535,2.02942,0.4252,1744.872,2.11206,0.36502,2.02299,0.42126
1782.129,0.00697,0.00536,1784.06,2.12661,0.35925,2.02354,0.42471,1746.873,2.11301,0.36471,2.02377,0.42105
1784.058,0.00694,0.00532,1785.99,2.13193,0.355,2.02044,0.41867,1748.874,2.11396,0.3644,2.02455,0.42084
1785.987,0.00697,0.00528,1787.91,2.1387,0.35638,2.02542,0.41478,1750.875,2.1149,0.3641,2.02533,0.42064
1787.915,0.00703,0.0053,1789.84,2.14079,0.36051,2.03147,0.418,1752.876,2.11585,0.36381,2.02611,0.42045
1789.844,0.00706,0.00535,1791.77,2.13839,0.36044,2.03031,0.42347,1754.877,2.1168,0.36353,2.02688,0.42026
1791.773,0.00704,0.00536,1793.7,2.14107,0.35984,2.02306,0.4226,1756.878,2.11774,0.36325,2.02766,0.42007
1793.702,0.00706,0.00531,1795.63,2.14385,0.36207,2.01954,0.41429,1758.879,2.11868,0.36297,2.02843,0.41989
1795.63,0.00709,0.00526,1797.56,2.14358,0.36597,2.02591,0.40751,1760.88,2.11963,0.36271,2.0292,0.41971
1797.559,0.0071,0.00528,1799.49,2.13812,0.36422,2.03531,0.40694,1762.881,2.12057,0.36245,2.02996,0.41953
1799.488,0.00705,0.00534,1801.42,2.13904,0.35874,2.04264,0.41379,1764.882,2.12151,0.36219,2.03072,0.41936
1801.416,0.00704,0.00541,1803.35,2.14643,0.35849,2.0402,0.41889,1766.883,2.12244,0.36195,2.03148,0.4192
